,artist_name,artist_id,track_name,track_id,popularity,artist_popularity,genres,followers
561,Ovy On The Drums,3m5qlPf2OkihLz3dRYnkPA,EL HECHIZO,1mF6RkY7x1KsDBZS6cV5f1,78,71,"['colombian pop', 'reggaeton colombiano', 'urbano latino']",257376
562,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,La Bachata,3tt9i3Hhzq84dPS8H7iSiJ,85,80,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",13180407
563,Becky G,4obzFoKoKRHIphyHzJ35G3,POR EL CONTRARIO (with Angela Aguilar & Leonardo Aguilar),6VsqdsaY4oV06NODea0L0J,81,76,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",14061981
564,Kanii,1S82w4yw9TYIHZ889mPPaW,Go (Xtayalive 2),1slDsIJxew9AOOA3v0xFzn,77,68,"['bedroom r&b', 'sped up']",302014
565,NewJeans,6HvZYsbFfjnjFrWF950C9d,ASAP,5fpyAakgFOm4YTXkgfPzvV,81,81,"['k-pop', 'k-pop girl group']",5963404
566,Becky G,4obzFoKoKRHIphyHzJ35G3,2NDO CHANCE,4JyfG2WBcDjlc8TODyBIbx,76,76,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",14061981
567,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Heartbroken (feat. Jessie Murph & Polo G),6NdnvPwQvZb147DVa4x14h,76,75,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",2576969
568,alex_g_offline,0bC6e2YtIRLbKx2txHFmEo,Pretend,0tGqk0HlYMQ16aj7yJwleF,76,60,[],94892
569,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,LAS MORRAS,0lc2neV7ZzjZExwCIVG2B3,78,90,"['corridos tumbados', 'sad sierreno']",8745657
570,Ken Carson,3gBZUcNeVumkeeJ19CY2sX,Vampire Hour,1U29Vg8V5ivbxirZaG7XAR,74,77,['rage rap'],809613
571,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Haunted (Taylor's Version),4tMzIAFTFdqGBQLdfbPces,77,100,['pop'],91476272
572,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Out of Time,7vgn9nppFQODNFSAI3PhWd,5,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
573,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You,0AYbYBTgEPgRmDnk2u6OQv,1,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
574,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Blinding Lights,72JK4dQucgW046zd9SQIWR,1,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
